department,total_earnings,_id
Boston Police Department,129269.81,594
Boston Police Department,117916.75,595
Boston Police Department,190189.14,596
Boston Police Department,236555.78,597
Boston Police Department,167391.93,598
Boston Police Department,149498.87,599
Boston Police Department,36898.5,600
Boston Police Department,316343.59,601
Boston Police Department,161540.88,602
Boston Police Department,320059.51,603
Boston Police Department,128883.19,604
Boston Police Department,218635.12,605
Boston Police Department,211188.66,606
Boston Police Department,166875.38,607
Boston Police Department,188072.88,608
Boston Police Department,186875.66,609
Boston Police Department,176352.51,610
Boston Police Department,186252.76,611
Boston Police Department,103547.24,612
Boston Police Department,220273.96,613
Boston Police Department,221546.06,614
Boston Police Department,149820.97,615
Boston Police Department,146321.99,616
Boston Police Department,221740.53,617
Boston Police Department,111648.7,618
Boston Police Department,146546.27,619
Boston Police Department,144353.33,620
Boston Police Department,198510.87,621
Boston Police Department,167447.13,622
Boston Police Department,229615.36,623
Boston Police Department,150434.55,624
Boston Police Department,276166.83,625
Boston Police Department,115007.85,626
Boston Police Department,229540.86,627
Boston Police Department,135194.93,628
Boston Police Department,223136.16,629
Boston Police Department,168008.34,630
Boston Police Department,119308.6,631
Boston Police Department,114701.96,632
Boston Police Department,140709.4,633
Boston Police Department,150929.73,634
Boston Police Department,218344.6,635
Boston Police Department,177280.11,636
Boston Police Department,154851.04,637
Boston Police Department,214173.7,638
Boston Police Department,222087.24,639
Boston Police Department,173452.07,640
Boston Police Department,120906.78,641
Boston Police Department,193235.28,642
Boston Police Department,248474.5,643
Boston Police Department,224087.95,644
Boston Police Department,196616.64,645
Boston Police Department,133354.59,646
Boston Police Department,186089.26,647
Boston Police Department,138035.31,648
Boston Police Department,126758.08,649
Boston Police Department,183180.39,650
Boston Police Department,162741.41,651
Boston Police Department,145950.48,652
Boston Police Department,144187.25,653
Boston Police Department,177750.78,654
Boston Police Department,215810.09,655
Boston Police Department,229694.16,656
Boston Police Department,188123.36,657
Boston Police Department,166150.29,658
Boston Police Department,196893.74,659
Boston Police Department,205023.6,660
Boston Police Department,216674.4,661
Boston Police Department,171349.78,662
Boston Police Department,212176.37,663
Boston Police Department,117283.12,664
Boston Police Department,118243.95,665
Boston Police Department,221283.88,666
Boston Police Department,141098.52,667
Boston Police Department,266291.63,668
Boston Police Department,14444.2,669
Boston Police Department,279767.16,670
Boston Police Department,273926.76,671
Boston Police Department,213461.87,672
Boston Police Department,122834.98,673
Boston Police Department,126237.1,674
Boston Police Department,296008.35,675
Boston Police Department,191054.45,676
Boston Police Department,118896.52,677
Boston Police Department,128203.25,678
Boston Police Department,215345.9,679
Boston Police Department,134976.29,680
Boston Police Department,213224.51,681
Boston Police Department,139620.69,682
Boston Police Department,146650.39,683
Boston Police Department,171212.37,684
Boston Police Department,173606.97,685
Boston Police Department,164138.38,686
Boston Police Department,231648.68,687
Boston Police Department,25096.51,688
Boston Police Department,263352.52,689
Boston Police Department,200764.49,690
Boston Police Department,121925.05,691
Boston Police Department,210057.4,692
Boston Police Department,134753.37,693
Boston Police Department,176711.8,694
Boston Police Department,162462.1,695
Boston Police Department,200675.39,696
Boston Police Department,156944.04,697
Boston Police Department,164207.62,698
Boston Police Department,197754.75,699
Boston Police Department,212497.36,700
Boston Police Department,258702.1,701
Boston Police Department,187620.87,702
Boston Police Department,168819.2,703
Boston Police Department,103041.82,704
Boston Police Department,133200.52,705
Boston Police Department,204832.36,706
Boston Police Department,144914.36,707
Boston Police Department,209914.27,708
Boston Police Department,199062.58,709
Boston Police Department,163419.59,710
Boston Police Department,147112.46,711
Boston Police Department,126185.05,712
Boston Police Department,123060.92,713
Boston Police Department,139808.85,714
Boston Police Department,171991.27,715
Boston Police Department,154597.56,716
Boston Police Department,228579.35,717
Boston Police Department,187580.87,718
Boston Police Department,192226.54,719
Boston Police Department,173087.26,720
Boston Police Department,240545.38,721
Boston Police Department,204350.23,722
Boston Police Department,181232.73,723
Boston Police Department,183680.14,724
Boston Police Department,19565.88,725
Boston Police Department,98614.95,726
Boston Police Department,204652.07,727
Boston Police Department,275937.65,728
Boston Police Department,162436.72,729
Boston Police Department,144160.52,730
Boston Police Department,155829.55,731
Boston Police Department,222579.19,732
Boston Police Department,203829.33,733
Boston Police Department,268405.75,734
Boston Police Department,229340.1,735
Boston Police Department,155210.73,736
Boston Police Department,233669.72,737
Boston Police Department,177639.76,738
Boston Police Department,172521.57,739
Boston Police Department,138502.81,740
Boston Police Department,221549.39,741
Boston Police Department,247646.24,742
Boston Police Department,227552.52,743
Boston Police Department,146147.81,744
Boston Police Department,233982.37,745
Boston Police Department,163710.67,746
Boston Police Department,162570.21,747
Boston Police Department,98188.09,748
Boston Police Department,181376.56,749
Boston Police Department,285966.88,750
Boston Police Department,279942.09,751
Boston Police Department,192885.91,752
Boston Police Department,186484.59,753
Boston Police Department,208224.93,754
Boston Police Department,134886.54,755
Boston Police Department,169002.13,756
Boston Police Department,176524.72,757
Boston Police Department,150185.17,758
Boston Police Department,172580.9,759
Boston Police Department,220659.51,760
Boston Police Department,185721.82,761
Boston Police Department,116571.65,762
Boston Police Department,148982.48,763
Boston Police Department,139211.72,764
Boston Police Department,267414.0,765
Boston Police Department,169805.07,766
Boston Police Department,315722.52,767
Boston Police Department,199116.78,768
Boston Police Department,142624.07,769
Boston Police Department,243669.68,770
Boston Police Department,188388.5,771
Boston Police Department,223785.92,772
Boston Police Department,205182.91,773
Boston Police Department,150994.27,774
Boston Police Department,139985.64,775
Boston Police Department,233488.35,776
Boston Police Department,149182.75,777
Boston Police Department,305826.11,778
Boston Police Department,178918.45,779
Boston Police Department,195565.89,780
Boston Police Department,148989.33,781
Boston Police Department,147479.14,782
Boston Police Department,166289.65,783
Boston Police Department,147026.05,784
Boston Police Department,180882.51,785
Boston Police Department,201930.82,786
Boston Police Department,168845.54,787
Boston Police Department,134852.59,788
Boston Police Department,187090.73,789
Boston Police Department,170351.37,790
Boston Police Department,229237.06,791
Boston Police Department,196975.12,792
Boston Police Department,107224.43,793
Boston Police Department,183249.66,794
Boston Police Department,150377.49,795
Boston Police Department,135625.12,796
Boston Police Department,155443.23,797
Boston Police Department,152671.71,798
Boston Police Department,131245.67,799
Boston Police Department,184170.53,800
Boston Police Department,102928.98,801
Boston Police Department,133317.91,802
Boston Police Department,140482.96,803
Boston Police Department,129329.95,804
Boston Police Department,143256.87,805
Boston Police Department,136585.58,806
Boston Police Department,245131.3,807
Boston Police Department,208003.0,808
Boston Police Department,185395.0,809
Boston Police Department,243421.7,810
Boston Police Department,327653.47,811
